Symbol,Day,Open,CloseDiff,SpreadOverLow,Volume,NextLow,TwoDayHigh,ThreeDayOpen
AA,20090916,43.2,0.00486109,4.753592,4.51871E+07,41.82,42.99,41.19
AAV,20061115,10.28,0.07587556,6.168283,1930800,11.15,12,11.87
AAV,20081006,6.8,0.05294112,6.966012,3158100,6.25,6.12,6.24
ABG,20160426,58.57,0.06283081,5.544956,985500,61.79,62.47,60.85
ABR,20080723,11.05,-0.02805434,5.949225,539600,10.19,11.66,10.69
ABR,20091009,2.71,0.0332103,5.847233,326800,2.65,2.7,2.67
ACH,20071022,73.4,0.05858304,5.651582,3699200,77.58,77.2,74.49
ACH,20100506,22.29,-0.03768507,7.543622,1063600,21.22,23.86,22.85
ADC,20081014,24.6,-0.09227644,7.492838,43600,20.73,23.29,22.65
AEL,20160406,15.05,-0.09036548,6.369586,5712400,12.82,13.21,13.06
AEO,20070308,29.5,0.02542373,7.83824,5433000,29.91,30.85,30.45
AG,20080123,57.07,-0.001577013,4.645291,4731400,53.67,58.91,56.4
AG,20110406,26.44,-0.04009082,6.605499,5095300,24.59,26.14,24.56
AG,20160922,13,-0.08,6.957281,8290700,11.15,11.62,10.76
AGI,20130418,10.1,0.07425743,6.49589,36800,10.87,12.27,11.93
AGM,20090513,7.25,-0.009655196,7.323636,2383200,5.7,6.88,6.35
AGN,20120801,84.85,0.009074888,4.606434,9048000,83.88,86.77,85.45
AGO,20071130,22.37,0.008940494,8.868577,3021200,21.54,23.47,23.1
AGO,20080801,11.85,0.05569619,6.181549,4308900,12.5,14.57,14.68
AGO,20081014,13,-0.003846169,5.116653,877300,10.85,12.25,11.7
AGO,20090311,4.05,-0.09629632,7.068236,1282100,3.17,4.92,4.75
AHC,20080919,6.84,0.03362573,5.403542,437300,6.21,6.61,6.01
AHC,20091009,3.27,0.08868501,8.598748,224400,3.56,3.95,3.82
AHT,20060131,11.97,0.02255635,5.036793,846200,11.91,12,11.93
AHT,20081120,1.05,-0.0380952,16.95872,2044600,1.01,1.51,1.49
AHT,20110802,10.91,-0.09990836,5.541996,1187200,9.68,10.42,8
AHT,20150807,8.23,-0.01822596,6.196604,2131800,8.08,8.63,8.38
AIC,20060324,6.14,0.02442998,5.797836,487800,6.29,6.22,6.05
AIG,20090227,9.2,-0.08695655,6.288411,6.64805E+07,8.4,10,10
AIR,20120321,21.99,-0.08867662,7.242981,1191600,19.47,19.56,19.21
AKS,20070423,27.94,0.06478166,6.660952,1.22679E+07,29.44,32.25,31.71
AKS,20081016,12.07,0.05053858,7.150458,1.4045E+07,12,15.1,15.25
AKS,20150622,4.6,-0.05434783,5.847144,1.53427E+07,4.27,4.5,4.39
AKS,20150807,3.19,-0.04702197,5.437856,1.22198E+07,2.97,3.3,3.13
AKS,20160906,4.38,0.07077624,5.861168,1.78251E+07,4.38,4.49,4.28
AL,20140612,40.77,-0.07750797,5.877075,4612700,36.75,38.04,37.68
ALK,20101007,12.2775,-0.05314601,5.930356,1922900,11.6525,12.1075,11.6875
AM,20111004,17.56,-0.05011385,5.693581,3759100,16.06,16.67,16.64
AMN,20070502,68.99,0.08914338,6.600785,184500,74.42,77.44,77
AMP,20081124,14.4,0.09791672,7.126643,5536900,15.15,17.9,17.73
ANF,20120206,40.38,0.09831593,5.879109,8830000,43.38,45.68,44.92
ANF,20171120,15.7,0.08535039,5.859574,1.05036E+07,16.25,16.795,16.75
ANH,20071121,6.61,0.07261725,5.542869,751600,7.06,7.11,6.52
ANH,20080311,6.1,-0.04098361,6.623417,5810400,5.66,5.85,5.63
AOI,20080215,49,0.05102041,9.438047,1038700,50,55,54
AOI,20080919,45,-0.05111109,6.103929,2156300,39.1,40.8,40.9
AOI,20111128,26.8,0.01865672,5.129776,347300,26.2,28.5,28.3
AOI,20140108,28,-0.02500003,5.204458,2475900,27.3,28.1,27.2
AOI,20150204,10.8,0.009259206,6.59695,2158800,10.5,11.1,11
AOI,20150210,9.7,-0.07216493,6.882041,1217300,9.2,10.3,10.1
AP,20170407,13.75,0.05454545,5.212451,100600,14.55,17,16.9
APA,20081014,84.89,-0.05948879,5.526325,9847400,64.06,75.98,72.6
ARC,20110223,7.65,0.05228759,7.126984,509500,7.9,9.12,9.15
ARC,20110415,9.11,0.009879271,5.776128,492400,8.91,9.13,9.27
ARC,20130226,2.34,-0.07264951,6.278858,312200,2.17,2.32,2.19
ARC,20140117,8.07,-0.0594795,7.494094,469900,7.51,7.64,7.56
ARC,20171117,2.86,-0.07342651,5.547011,202000,2.61,2.825,2.8
ARL,20120106,1.83,-0.02732244,6.714118,10500,1.7,1.82,1.67
ARL,20120911,2.5,0.06800003,7.215066,11000,2.65,3.16,3.09
ARL,20130219,3,0.07666668,7.065475,14500,3.16,3.36,3.26
ARL,20140429,9.39,-0.02768905,5.347605,20300,8.73,9.99,8.55
ASX,20080930,2.55,-0.003921565,4.742836,769100,2.51,2.64,2.58
ATI,20080908,46.51,-0.09782841,6.144066,3025400,36.47,41.79,39.98
ATI,20170425,18.6,0.06935479,6.899431,7739900,18.1,19.05,18.65
AU,20060324,48.13,0.05755247,6.307851,1818000,51.1,52.98,50.8
AVK,20081008,11.8,0.004237304,5.390664,361900,9.81,8.92,9.01
AVP,20120503,19.84,0.05846773,7.437693,8402600,20.27,20.36,20
AVP,20160802,4.5,0.05777783,6.164969,2.1419E+07,4.64,5.2,5.12
AWR,20070315,19.35,-0.02609825,10.06669,237800,18.715,19.33,19.205
AXE,20111025,57,-0.01543862,6.342885,1058400,56,60.14,59.08
AXL,20090720,1.42,0.04929581,6.623811,4129500,1.36,1.39,1.33
AXL,20090811,3.49,-0.01719196,12.21383,1.9778E+07,3.18,3.34,3.08
AXL,20130503,13.95,0.06236558,6.196606,5678400,14.86,16.02,15.89
